"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000174136",146.390527210637,1.93608950342256,0.560290744081448,3.45550863346249,0.000549255601234925,0.158422361259639
"ENSG00000146085",596.767322135868,1.54127788294756,0.445885809721726,3.4566650235168,0.000546904227833266,0.158422361259639
"ENSG00000169760",555.939709236506,3.82818390202699,1.11199676155184,3.44262144854144,0.00057610511998362,0.160627709203433
"ENSG00000159212",23.6618670666783,-4.26391963112954,1.23760848072757,-3.44528960291453,0.000570447862090113,0.160627709203433
"ENSG00000023445",31.9828440471882,-5.02121230239345,1.46667338566251,-3.42353815885555,0.000618115728942465,0.167917275086239
"ENSG00000166482",33.2647009130337,-3.51674370281778,1.02777877028581,-3.42169327144189,0.000622324768685925,0.167917275086239
"ENSG00000095951",238.798919886012,1.01509152634085,0.298303526525766,3.40288141465592,0.000666792142962555,0.169011602418494
"ENSG00000174156",392.796003521336,-2.94582014436181,0.865153885130613,-3.404966671238,0.000661721293715235,0.169011602418494
"ENSG00000051620",346.378652284993,-1.39396782962462,0.409334557957313,-3.40544867890188,0.000660554278829445,0.169011602418494
"ENSG00000104044",3334.4696562303,1.66840316989708,0.488926777888383,3.41237838741973,0.000643986542824639,0.169011602418494
"ENSG00000182179",332.944551373682,-3.24777083338618,0.960603539730019,-3.38096904608427,0.00072230679296839,0.177698093228944
"ENSG00000112659",608.153445609849,1.42270125684261,0.420396408516067,3.38418984563765,0.000713886233905411,0.177698093228944
"ENSG00000012660",1080.61989358686,1.33974432792435,0.397318509224149,3.37196555614914,0.000746337815711821,0.179318679433369
"ENSG00000130348",174.052538099461,-1.08186034794969,0.320979646343765,-3.37049517087146,0.000750332211150447,0.179318679433369
"ENSG00000137269",654.654913141399,2.83166674688875,0.843253915795612,3.35802383344649,0.000785018441893445,0.180219825410655
"ENSG00000106278",328.178207250113,3.25047074202933,0.9681136376394,3.35753016552387,0.000786421618445681,0.180219825410655
"ENSG00000158856",301.878155343034,-1.98454378926362,0.590549645501889,-3.36050288807984,0.000778007173061974,0.180219825410655
"ENSG00000162669",162.780744815227,1.99486570385851,0.595844161530177,3.34796551288768,0.000814071410612311,0.184035143623424
"ENSG00000143195",83.0835284158527,-2.06529387129724,0.61878551916471,-3.33765708364531,0.000844879497599736,0.188453188204613
"ENSG00000196284",324.626534433543,2.0732544428885,0.623694197610281,3.32415220605273,0.000886877778436098,0.195218136256019
